"Company","Product_Type","Production_Year","Greenhouse_Gas_Emissions","Pollutants_Emitted","Water_Consumption","Energy_Consumption","Waste_Generation","Sales_Revenue"
"Urban Outfitters","Cotton",2019,3192,15,6993,1217,265,490228
"Nike","Cotton",2021,2957,24,7616,1255,316,538572
"Forever 21","Cotton",2021,5649,10,7126,1205,165,494717
"Forever 21","Cotton",2021,4248,11,6135,1431,158,551622
"Adidas","Cotton",2020,1955,9,7267,1426,216,505379
"Adidas","Cotton",2021,2258,16,7203,888,340,566615
"Forever 21","Cotton",2021,3845,19,6117,1240,165,556918
"Forever 21","Cotton",2018,2166,16,6171,892,186,498566
"Adidas","Cotton",2021,4773,10,8046,1204,330,578866
"Urban Outfitters","Cotton",2018,3964,24,8059,998,259,444395
"Zara","Cotton",2022,1889,18,6048,1264,201,587349
"Adidas","Cotton",2018,3112,14,6935,934,304,504277
"Nike","Cotton",2021,3385,25,8085,1268,348,557851
"Zara","Cotton",2021,2118,19,6643,1351,184,498664
"Urban Outfitters","Cotton",2020,5425,17,7013,848,203,476804
"Zara","Cotton",2021,4591,16,7252,1242,192,451294
"Zara","Cotton",2020,3086,17,7682,782,173,534744
"Forever 21","Cotton",2021,2676,13,5855,706,251,507088
"Zara","Cotton",2020,4071,20,7313,1377,262,576545
"Urban Outfitters","Cotton",2021,2417,15,7292,971,162,497940
"Adidas","Cotton",2019,3250,22,8368,883,338,507080
"Urban Outfitters","Cotton",2019,3492,13,7092,1007,309,514257
"Forever 21","Cotton",2020,3272,9,8313,862,223,575618
"Urban Outfitters","Cotton",2021,2409,14,5602,707,262,458019
"Zara","Cotton",2022,5577,23,6585,1400,304,536301
"Forever 21","Cotton",2022,2492,12,6034,1402,339,501295
"Urban Outfitters","Cotton",2021,2535,16,8172,1304,300,560804
"Nike","Cotton",2022,2758,21,6054,1362,275,543940
"Zara","Cotton",2018,2885,25,7216,762,203,479660
"Urban Outfitters","Cotton",2019,2543,25,8415,1189,215,553361
"Forever 21","Cotton",2021,4199,24,7253,868,227,515111
"Forever 21","Cotton",2018,2108,19,6379,839,290,553341
"Urban Outfitters","Cotton",2021,3581,11,6686,1013,305,473960
"Adidas","Cotton",2019,3845,20,5763,1497,177,451425
"Zara","Cotton",2018,5004,18,7739,949,291,471496
"Urban Outfitters","Cotton",2022,2089,25,7809,1243,205,428739
"Forever 21","Cotton",2020,5139,21,8127,1345,253,533514
"Urban Outfitters","Cotton",2019,3553,10,5623,1285,199,533101
"Zara","Cotton",2018,4107,22,6839,1014,197,441928
"Forever 21","Cotton",2021,5239,23,8079,861,244,501693
"Urban Outfitters","Cotton",2020,2321,13,5946,887,221,502817
"Adidas","Cotton",2020,5073,20,5667,703,212,427694
"Zara","Cotton",2021,3757,21,8289,1140,162,439950
"Forever 21","Cotton",2020,5886,21,6485,1403,309,426303
"Forever 21","Cotton",2021,3867,25,8355,785,326,527680
"Adidas","Cotton",2022,4345,25,6773,1341,160,427721
"Zara","Cotton",2022,1885,25,6927,1401,247,558523
"Adidas","Organic_Cotton",2021,4859,16,7270,861,220,588010
"Urban Outfitters","Organic_Cotton",2022,2600,22,7038,745,189,559173
"Forever 21","Organic_Cotton",2018,3240,23,7309,1082,195,564901
"Zara","Organic_Cotton",2021,2404,22,6426,1299,267,470469
"Adidas","Organic_Cotton",2021,2007,23,7285,951,304,558557
"Nike","Organic_Cotton",2020,2760,18,5627,977,224,458613
"Zara","Organic_Cotton",2018,5113,9,6443,1026,182,570649
"Urban Outfitters","Organic_Cotton",2022,3908,24,8183,1073,267,423554
"Zara","Organic_Cotton",2018,1997,19,7197,913,186,549894
"Forever 21","Organic_Cotton",2022,4087,23,5679,1165,194,448803
"Forever 21","Organic_Cotton",2020,2496,20,6621,881,184,583586
"Zara","Organic_Cotton",2018,2825,19,7376,1225,316,434000
"Nike","Organic_Cotton",2022,2915,14,7197,1137,275,473818
"Adidas","Organic_Cotton",2020,2315,20,7757,1194,344,573977
"Forever 21","Organic_Cotton",2022,3555,25,5862,1104,190,504769
"Nike","Organic_Cotton",2021,5514,24,6196,1072,320,489708
"Forever 21","Organic_Cotton",2019,2284,11,7714,1435,162,479084
"Adidas","Organic_Cotton",2022,4651,21,7412,746,157,461727
"Urban Outfitters","Organic_Cotton",2021,5565,16,6701,1163,343,491661
"Urban Outfitters","Organic_Cotton",2022,4071,24,6602,872,150,480773
"Forever 21","Organic_Cotton",2020,2054,22,8130,1228,230,530225
"Nike","Organic_Cotton",2021,4119,18,7094,1091,209,471270
"Urban Outfitters","Organic_Cotton",2020,3459,25,7441,1257,288,583660
"Adidas","Organic_Cotton",2019,2075,14,7361,1458,348,514692
"Forever 21","Organic_Cotton",2020,3473,19,5530,971,251,454308
"Zara","Organic_Cotton",2019,3264,17,6097,1342,316,449863
"Adidas","Organic_Cotton",2019,5089,9,6983,878,178,531003
"Zara","Organic_Cotton",2018,3398,25,7912,1500,346,492856
"Nike","Organic_Cotton",2021,3985,13,7537,1132,245,593330
"Nike","Organic_Cotton",2022,2122,25,7004,1440,333,454568
"Forever 21","Organic_Cotton",2018,5291,21,7620,1212,272,557663
"Nike","Organic_Cotton",2021,3559,14,7348,1179,208,540796
"Adidas","Organic_Cotton",2021,2882,15,8045,894,304,542794
"Zara","Organic_Cotton",2019,2183,13,5583,1077,168,518843
"Urban Outfitters","Organic_Cotton",2022,4979,18,6631,1430,212,480578
"Adidas","Organic_Cotton",2018,4617,14,7729,732,197,542510
"Urban Outfitters","Organic_Cotton",2022,4092,19,7218,897,201,599272
"Urban Outfitters","Organic_Cotton",2018,3061,17,6246,821,157,521921
"Adidas","Organic_Cotton",2018,5940,15,7596,844,240,554772
"Zara","Organic_Cotton",2018,2331,17,8169,1143,273,560210
"Adidas","Organic_Cotton",2021,4918,9,7531,1294,288,420220
"Urban Outfitters","Organic_Cotton",2020,5785,23,7970,1496,230,478981
"Nike","Organic_Cotton",2018,2760,25,5965,1236,176,584769
"Zara","Organic_Cotton",2018,3468,18,7197,872,341,553362
"Urban Outfitters","Organic_Cotton",2019,3412,11,7736,843,199,460413
"Nike","Organic_Cotton",2019,1977,24,7105,862,227,564003
"Nike","Organic_Cotton",2022,5483,14,7997,1299,248,460816
"Adidas","Organic_Cotton",2022,3625,23,6221,1007,316,430147
"Nike","Organic_Cotton",2021,3619,20,6737,832,208,530946
"Zara","Organic_Cotton",2021,4732,21,6062,1486,328,422210
"Forever 21","Organic_Cotton",2020,2008,19,5821,1364,211,584939
"Adidas","Organic_Cotton",2021,4192,25,7860,1256,259,501719
"Nike","Organic_Cotton",2021,4055,14,7028,1243,189,537803
"Zara","Organic_Cotton",2019,2706,15,7986,741,184,523427
"Nike","Organic_Cotton",2021,2428,11,5664,737,328,497056
"Adidas","Organic_Cotton",2022,3151,23,5596,1295,160,454962
"Adidas","Organic_Cotton",2018,2936,15,7166,1125,161,420431
"Adidas","Organic_Cotton",2018,4110,14,6877,1461,186,485675
"Urban Outfitters","Organic_Cotton",2019,3943,11,7405,1046,212,547791
"Adidas","Organic_Cotton",2022,4070,11,8105,1233,318,501077
"Nike","Organic_Cotton",2019,4328,15,5796,990,294,597521
"Nike","Organic_Cotton",2019,2251,22,8113,1400,171,582037
"Urban Outfitters","Organic_Cotton",2022,4657,21,6760,1433,264,486816
"Zara","Organic_Cotton",2019,5852,10,6657,1425,202,521890
"Adidas","Organic_Cotton",2020,2104,12,6615,1306,321,597201
"Zara","Organic_Cotton",2021,2285,19,6565,1190,203,557198
"Zara","Organic_Cotton",2018,4693,14,8055,893,289,485608
"Nike","Organic_Cotton",2022,2136,16,6530,1225,181,570781
"Adidas","Organic_Cotton",2020,2481,14,7094,784,320,455450
"Nike","Organic_Cotton",2022,2238,15,5760,1046,207,513061
"Forever 21","Organic_Cotton",2019,3375,19,5787,1311,278,434460
"Urban Outfitters","Organic_Cotton",2021,2255,20,6549,885,160,567512
"Nike","Organic_Cotton",2018,2984,10,8109,1219,293,434314
"Urban Outfitters","Organic_Cotton",2019,4367,10,7951,1162,220,474888
"Adidas","Organic_Cotton",2018,5411,15,8079,1401,218,456302
"Urban Outfitters","Organic_Cotton",2019,4325,10,6840,1063,206,531388
"Zara","Organic_Cotton",2020,5240,25,6293,781,329,472577
"Nike","Organic_Cotton",2019,5364,10,8110,1473,261,435845
"Zara","Organic_Cotton",2018,2039,24,6820,714,170,539840
"Forever 21","Organic_Cotton",2020,4629,9,7843,1275,157,436629
"Urban Outfitters","Linen",2018,2700,20,6403,1282,328,519655
"Nike","Linen",2020,3214,14,6335,1107,333,540873
"Adidas","Linen",2020,1843,18,6337,1178,306,433353
"Urban Outfitters","Linen",2021,3207,17,6291,895,312,500141
"Nike","Linen",2021,3357,14,6798,852,226,584920
"Nike","Linen",2020,2787,14,6200,930,168,592136
"Forever 21","Linen",2019,2246,20,7246,1137,172,497214
"Adidas","Linen",2019,2450,13,5839,1219,220,555060
"Forever 21","Linen",2022,2230,21,7082,934,273,441785
"Zara","Linen",2018,2830,21,7077,855,222,583207
"Adidas","Linen",2021,4738,25,5560,1000,317,525144
"Urban Outfitters","Linen",2022,3483,20,7349,1420,169,577536
"Zara","Linen",2019,3063,22,6676,1011,343,537250
"Zara","Linen",2021,2863,21,5688,923,331,557814
"Nike","Linen",2020,4247,24,7472,1255,280,420062
"Zara","Linen",2020,2557,15,7301,974,246,596599
"Forever 21","Linen",2018,5905,25,6801,831,202,538030
"Zara","Linen",2021,2399,19,6225,996,189,434348
"Urban Outfitters","Linen",2019,2413,24,7339,946,234,492917
"Zara","Linen",2019,3138,13,6312,753,245,435332
"Forever 21","Linen",2020,3000,11,7270,1065,312,472603
"Zara","Linen",2019,2100,11,5685,850,200,470000
"Adidas","Linen",2021,5512,11,7304,1418,170,483288
"Zara","Linen",2022,3076,18,6804,1108,260,522795
"Zara","Linen",2021,2402,11,6398,1322,187,437218
"Nike","Linen",2019,4401,20,5770,824,328,429445
"Zara","Linen",2022,5508,20,7097,821,290,442037
"Zara","Linen",2019,1917,12,7389,1442,210,539339
"Urban Outfitters","Linen",2019,3123,21,6233,953,155,569695
"Urban Outfitters","Linen",2021,2105,12,6336,1066,281,499143
"Urban Outfitters","Linen",2019,3120,22,6009,949,161,453524
"Nike","Linen",2019,4372,13,6860,848,287,516133
"Nike","Linen",2021,2002,13,6378,1155,179,443811
"Urban Outfitters","Linen",2020,1878,14,6190,819,336,523168
"Adidas","Linen",2019,2259,17,7354,765,333,523470
"Adidas","Linen",2019,2990,9,5746,949,155,580489
"Nike","Linen",2020,2618,14,6131,1181,260,491984
"Zara","Linen",2018,5266,10,7419,984,307,426193
"Forever 21","Linen",2018,4100,19,6864,914,242,592475
"Adidas","Linen",2019,4064,10,6083,815,188,599632
"Adidas","Linen",2018,3988,15,6168,938,344,471551
"Zara","Linen",2019,3913,17,6611,1206,182,479616
"Adidas","Linen",2021,3508,22,6305,1221,176,489021
"Urban Outfitters","Linen",2020,2162,17,7121,1236,157,524210
"Urban Outfitters","Linen",2020,2327,23,6817,892,159,499193
"Urban Outfitters","Linen",2018,2966,17,6214,744,209,556251
"Forever 21","Linen",2022,2205,11,5685,982,158,423461
"Forever 21","Linen",2019,2594,9,6913,874,313,496496
"Zara","Linen",2018,2923,9,6058,872,261,461496
"Nike","Linen",2018,2479,21,6541,847,263,528625
"Urban Outfitters","Linen",2022,2446,23,6111,908,168,452909
"Forever 21","Linen",2019,3588,20,7177,1399,189,577212
"Nike","Linen",2021,2024,24,7420,964,167,520315
"Adidas","Linen",2020,2932,25,7400,833,188,427360
"Adidas","Linen",2018,1853,24,6028,721,175,421617
"Adidas","Linen",2021,3208,14,5772,1135,260,534027
"Urban Outfitters","Linen",2020,5552,21,6976,755,325,559310
"Adidas","Linen",2021,2046,20,6775,1291,182,500103
"Adidas","Linen",2018,4259,20,7281,931,168,448803
"Urban Outfitters","Linen",2020,3663,16,6291,1381,319,556048
"Zara","Linen",2019,5591,25,7418,1061,299,436987
"Adidas","Linen",2021,1803,19,6618,954,161,486718
"Forever 21","Linen",2021,2490,18,5814,961,207,478875
"Adidas","Viscose",2022,3831,15,6469,1469,291,545163
"Nike","Viscose",2022,2350,17,7488,1103,318,496862
"Zara","Viscose",2020,4465,14,7426,1034,213,569994
"Zara","Viscose",2019,5217,11,7425,1110,183,421942
"Urban Outfitters","Viscose",2021,4281,25,6539,1413,220,427648
"Adidas","Viscose",2022,3122,9,7395,1489,173,588924
"Forever 21","Viscose",2020,5139,18,7124,721,212,530047
"Urban Outfitters","Viscose",2021,5221,18,7968,1114,155,505136
"Adidas","Viscose",2020,3787,25,6112,830,308,562414
"Forever 21","Viscose",2019,2903,25,5974,1286,187,434656
"Adidas","Viscose",2022,5810,23,7778,931,245,461759
"Nike","Viscose",2018,4937,22,5845,1280,240,518031
"Nike","Viscose",2022,4426,16,6659,846,319,556642
"Nike","Viscose",2021,3843,11,6911,781,223,579183
"Adidas","Viscose",2019,3486,21,6349,1129,178,551434
"Forever 21","Viscose",2019,5058,18,7701,1008,267,550782
"Zara","Viscose",2020,2594,18,6999,744,225,582165
"Urban Outfitters","Viscose",2018,5036,14,6931,787,232,548042
"Urban Outfitters","Viscose",2020,2400,13,7016,1026,193,563423
"Nike","Viscose",2021,5485,17,7824,891,204,468519
"Zara","Viscose",2022,5155,21,8113,1104,236,561818
"Urban Outfitters","Viscose",2022,5934,11,7944,1142,224,523369
"Nike","Viscose",2019,1851,25,6017,1369,218,484844
"Adidas","Viscose",2022,5943,13,7217,945,265,492094
"Forever 21","Viscose",2019,2514,16,6058,702,202,424496
"Adidas","Viscose",2020,5083,12,5625,1459,252,520055
"Nike","Viscose",2020,3136,13,6364,1276,347,489517
"Forever 21","Viscose",2020,3691,16,6103,1403,156,514178
"Urban Outfitters","Viscose",2018,3657,23,6482,1125,177,531870
"Nike","Viscose",2022,3409,15,6975,1159,195,598954
"Forever 21","Viscose",2022,5647,12,6832,1059,187,429462
"Forever 21","Viscose",2019,2317,16,6839,1172,208,559709
"Forever 21","Viscose",2019,2088,14,7663,1191,247,520035
"Nike","Viscose",2021,2216,15,6819,1045,291,461083
"Urban Outfitters","Viscose",2021,4469,22,5976,1264,151,548668
"Adidas","Viscose",2019,3577,12,7493,1100,270,459295
"Nike","Viscose",2022,2374,10,6370,1431,276,452246
"Adidas","Viscose",2018,3330,13,6043,926,228,506777
"Forever 21","Viscose",2020,2743,20,7006,845,330,499936
"Forever 21","Viscose",2019,5602,19,8164,921,262,447656
"Adidas","Viscose",2019,5036,22,8072,937,204,447757
"Forever 21","Viscose",2020,5122,17,8087,1221,199,579452
"Adidas","Viscose",2022,3104,12,6662,1276,156,423748
"Nike","Viscose",2020,5361,20,7013,1296,152,580298
"Zara","Viscose",2021,2330,19,6923,1199,235,574772
"Urban Outfitters","Viscose",2020,5950,16,5762,731,244,447778
"Forever 21","Viscose",2019,2674,18,7794,954,336,529636
"Forever 21","Viscose",2021,3622,13,6936,759,316,500466
"Zara","Viscose",2019,5205,12,6862,989,290,545956
"Zara","Viscose",2019,5860,9,6409,705,156,501352
"Adidas","Viscose",2021,2749,10,6146,907,187,498733
"Zara","Viscose",2022,2287,23,5942,1497,323,453263
"Nike","Viscose",2020,3546,16,6589,873,188,587755
"Urban Outfitters","Viscose",2022,2389,19,6918,1398,336,588357
"Forever 21","Viscose",2022,5549,15,5614,1211,348,471981
"Adidas","Viscose",2022,5360,15,6659,1279,177,556099
"Zara","Viscose",2019,4194,11,6871,1495,263,482698
"Adidas","Viscose",2021,4848,23,5734,1485,224,458701
"Adidas","Viscose",2021,5010,21,7542,925,337,490324
"Nike","Viscose",2018,3765,23,7774,1130,233,434663
"Adidas","Viscose",2022,1886,23,6660,1175,259,582584
"Zara","Viscose",2019,5148,9,7226,787,156,489125
"Adidas","Viscose",2019,2949,23,7621,883,294,568324
"Urban Outfitters","Viscose",2018,4344,19,5703,1345,171,445005
"Adidas","Viscose",2020,2911,21,7642,1234,317,560849
"Adidas","Viscose",2019,2508,20,6276,1242,345,443678
"Adidas","Viscose",2022,5709,23,5957,1249,350,433391
"Urban Outfitters","Viscose",2019,5364,18,5975,1030,202,458133
"Urban Outfitters","Viscose",2018,5177,16,6349,829,222,559210
"Forever 21","Viscose",2018,5388,24,5716,1415,260,425383
"Nike","Viscose",2020,3159,13,8105,1235,325,473598
"Urban Outfitters","Viscose",2022,2968,16,6603,992,349,510211
"Nike","Viscose",2021,5421,10,6344,973,290,454344
"Zara","Viscose",2018,2723,20,6626,1224,313,529872
"Forever 21","Viscose",2022,5119,14,6689,1321,267,424043
"Zara","Viscose",2021,3072,19,7255,884,317,476922
"Nike","Viscose",2021,3375,16,7390,1271,226,478947
"Forever 21","Viscose",2021,3997,21,6260,1128,320,556147
"Zara","Viscose",2021,4005,10,7549,1421,242,581744
"Forever 21","Viscose",2021,4314,24,7195,1272,240,599721
"Forever 21","Viscose",2018,2721,25,6278,806,345,447007
"Zara","Viscose",2019,5827,11,6585,1044,297,422977
"Urban Outfitters","Viscose",2021,5226,22,6880,1351,157,582234
"Nike","Viscose",2022,1819,18,7219,914,210,448833
"Urban Outfitters","Viscose",2021,5573,11,7034,894,325,476563
"Nike","Viscose",2018,4675,18,7773,1295,255,474570
"Adidas","Viscose",2021,5256,18,5982,914,232,577532
"Urban Outfitters","Viscose",2022,2265,19,7219,838,177,548537
"Forever 21","Viscose",2018,3749,9,6097,1067,286,553037
"Forever 21","Viscose",2022,4074,25,7689,1367,191,554660
"Adidas","Viscose",2018,3501,20,7090,737,255,448535
"Urban Outfitters","Viscose",2021,4871,10,7287,1318,174,549389
"Nike","Viscose",2019,4620,10,7788,1097,305,439387
"Nike","Viscose",2020,3333,17,6571,975,270,580716
"Nike","Viscose",2019,5113,21,7737,1184,313,424937
"Nike","Viscose",2022,2495,10,5791,861,343,581962
"Nike","Viscose",2020,5945,15,7056,1071,169,577046
"Nike","Viscose",2019,2614,19,6499,1430,287,468467
"Adidas","Viscose",2021,5043,16,5691,1428,295,422242
"Zara","Viscose",2022,3920,11,6176,766,200,589341
"Nike","Viscose",2018,4775,25,8166,1330,335,522494
"Forever 21","Viscose",2019,2462,15,7349,955,229,542573
"Forever 21","Viscose",2020,4644,14,7537,1310,314,504764
"Forever 21","Viscose",2022,3345,21,6130,1361,163,482741
"Zara","Viscose",2020,3678,12,6553,790,298,531023
"Forever 21","Viscose",2019,5757,25,8021,1252,333,525438
"Forever 21","Viscose",2021,5427,9,6255,826,160,566174
"Adidas","Viscose",2020,5267,23,7909,1372,171,548220
"Nike","Viscose",2018,4105,18,7213,1177,221,468826
"Adidas","Viscose",2018,3688,18,6132,987,317,585393
"Urban Outfitters","Viscose",2019,2775,9,6233,872,160,423575
"Forever 21","Viscose",2022,4547,21,7641,988,255,592348
"Urban Outfitters","Viscose",2022,3190,14,6605,715,239,478379
"Zara","Viscose",2021,2764,22,7628,1016,183,466685
"Urban Outfitters","Viscose",2020,4250,11,6760,866,309,546136
"Forever 21","Viscose",2020,2653,14,7800,1169,151,558696
"Zara","Viscose",2018,2305,25,7068,1286,287,459282
"Forever 21","Viscose",2019,2865,24,7305,1115,296,583307
"Nike","Viscose",2018,5475,11,7659,1044,163,558698
"Forever 21","Viscose",2018,3269,19,6187,912,300,457798
"Urban Outfitters","Viscose",2020,5540,10,7370,1389,181,464019
"Forever 21","Viscose",2022,5315,9,5721,768,336,432706
"Zara","Viscose",2022,3112,25,5654,1157,300,491158
"Zara","Viscose",2018,2319,14,6269,1050,191,556861
"Nike","Viscose",2022,3131,19,7726,928,304,491520
"Nike","Viscose",2021,2953,20,7561,1177,187,592677
"Urban Outfitters","Viscose",2018,3217,17,6900,930,275,514693
"Urban Outfitters","Viscose",2020,1939,25,5616,828,166,435915
"Nike","Viscose",2020,5479,13,7025,1368,185,572313
"Nike","Viscose",2019,3128,13,7924,1487,332,433450
"Adidas","Viscose",2022,5687,17,6224,1043,302,458439
"Urban Outfitters","Viscose",2022,5566,10,6996,709,288,508300
"Nike","Viscose",2022,2473,19,6125,1153,160,484462
"Nike","Viscose",2022,2843,25,6368,1115,332,448044
"Nike","Viscose",2018,3113,20,6682,997,188,574986
"Adidas","Viscose",2020,3577,12,6114,1450,274,553976
"Nike","Viscose",2022,5692,22,7297,942,313,474527
"Nike","Viscose",2018,3187,9,7445,1353,245,540677
"Urban Outfitters","Viscose",2022,2038,14,6658,1038,236,596284
"Urban Outfitters","Viscose",2022,3022,20,5764,1357,302,545944
"Nike","Viscose",2020,5635,22,8138,1360,175,579913
"Adidas","Viscose",2021,3063,14,6881,1409,347,583771
"Adidas","Viscose",2020,3555,18,7337,1174,163,589824
"Adidas","Viscose",2022,4413,14,6487,1268,318,447105
"Forever 21","Viscose",2019,3560,15,7637,834,289,529047
"Zara","Viscose",2018,2675,24,7510,1180,242,526427
"Urban Outfitters","Viscose",2018,4354,11,5894,1192,207,559019
"Adidas","Viscose",2022,5496,24,7268,1152,314,496550
"Forever 21","Viscose",2022,5295,18,5658,1093,231,466770
"Nike","Viscose",2020,2015,9,8029,1245,174,553544
"Nike","Polyester",2018,3501,17,5532,927,312,485420
"Adidas","Polyester",2020,5889,15,5688,1449,229,548927
"Adidas","Polyester",2020,5165,25,6249,758,296,499551
"Nike","Polyester",2020,4723,24,4202,946,286,507406
"Nike","Polyester",2019,3828,16,5699,1019,301,442266
"Adidas","Polyester",2020,4750,19,4472,1456,179,444903
"Urban Outfitters","Polyester",2020,5072,25,4237,1365,262,532351
"Zara","Polyester",2021,3255,25,6355,1209,263,587321
"Nike","Polyester",2021,2206,14,4279,1285,349,476182
"Forever 21","Polyester",2021,2984,24,5541,728,347,572280
"Adidas","Polyester",2018,5912,12,6007,1361,303,425572
"Urban Outfitters","Polyester",2022,3163,21,5506,1441,339,587283
"Zara","Polyester",2020,3037,13,5896,783,285,490063
"Nike","Polyester",2020,4931,23,4248,804,197,514221
"Adidas","Polyester",2018,1978,11,4372,1482,186,535153
"Forever 21","Polyester",2019,4417,20,4396,1334,300,568838
"Urban Outfitters","Polyester",2022,5925,18,4708,1377,280,428004
"Zara","Polyester",2022,5025,12,5470,1093,348,485559
"Nike","Polyester",2019,4523,9,4692,1122,302,514663
"Adidas","Polyester",2020,5705,20,6207,955,204,533435
"Urban Outfitters","Polyester",2019,4868,10,4341,879,325,530193
"Urban Outfitters","Polyester",2019,4476,17,5217,1008,302,522360
"Zara","Polyester",2022,2638,15,4831,1058,290,503488
"Adidas","Polyester",2019,3722,17,4834,1461,329,440988
"Urban Outfitters","Polyester",2019,5596,20,4824,1204,225,593430
"Forever 21","Polyester",2021,2992,17,4175,1033,234,508702
"Zara","Polyester",2018,2376,10,4525,735,265,474954
"Zara","Polyester",2019,3705,13,5432,840,278,503744
"Adidas","Polyester",2022,2018,20,4621,1464,339,561129
"Adidas","Polyester",2021,3010,17,5209,1444,291,548240
"Nike","Polyester",2021,3401,21,5945,731,168,581992
"Nike","Polyester",2020,5853,11,4204,1357,345,492637
"Zara","Polyester",2018,4891,19,6186,1410,166,453432
"Zara","Polyester",2019,1989,24,5790,913,271,454288
"Forever 21","Polyester",2018,3526,15,6207,1401,258,447243
"Urban Outfitters","Polyester",2022,2186,17,5992,770,280,599250
"Zara","Polyester",2021,3214,24,4216,1284,234,593215
"Adidas","Polyester",2022,5514,11,5309,987,343,471821
"Urban Outfitters","Polyester",2021,5867,16,6285,1114,282,458415
"Forever 21","Polyester",2018,5641,10,4168,808,277,565560
"Urban Outfitters","Polyester",2022,5315,13,5825,1351,249,465538
"Forever 21","Polyester",2019,4104,18,6374,1111,333,468387
"Nike","Polyester",2022,4308,19,4500,1441,341,466346
"Nike","Polyester",2018,2169,13,6356,1075,239,573083
"Adidas","Polyester",2019,5404,14,5127,1366,333,548990
"Forever 21","Polyester",2021,5996,19,5525,1161,269,533378
"Adidas","Polyester",2019,4343,23,4772,1273,261,530629
"Adidas","Polyester",2019,5367,13,5998,1304,344,456659
"Adidas","Polyester",2018,4969,19,5715,1242,199,544792
"Urban Outfitters","Polyester",2020,4130,24,5690,949,257,433125
"Zara","Polyester",2021,2132,25,4181,779,338,548729
"Zara","Polyester",2020,2036,13,4356,1453,195,454510
"Zara","Polyester",2021,2657,21,4169,1089,326,581443
"Zara","Polyester",2018,4965,25,5892,1045,283,528770
"Nike","Polyester",2018,4340,22,4207,946,315,451792
"Urban Outfitters","Polyester",2018,5873,15,4658,867,315,597394
"Forever 21","Polyester",2020,1825,20,4281,1117,319,450881
"Urban Outfitters","Polyester",2022,4423,19,4779,1485,172,540010
"Urban Outfitters","Polyester",2019,4202,18,5608,1083,246,577502
"Urban Outfitters","Polyester",2018,5366,24,5550,937,333,432397
"Zara","Polyester",2018,1977,14,4732,1295,315,509546
"Forever 21","Polyester",2019,2293,16,4559,1229,236,490570
"Forever 21","Polyester",2020,2607,10,5809,926,198,494562
"Adidas","Polyester",2019,2087,10,4941,1043,349,481982
"Forever 21","Polyester",2019,3202,16,4481,1395,296,434841
"Nike","Polyester",2018,2512,12,4709,1037,348,461722
"Adidas","Polyester",2022,5626,15,6091,707,287,567928
"Nike","Polyester",2020,3376,18,5512,1202,322,489044
"Urban Outfitters","Polyester",2021,5520,16,5864,1164,285,559364
"Forever 21","Polyester",2020,3429,15,5433,1112,190,535206
"Zara","Polyester",2020,2374,14,5014,1355,336,455565
"Nike","Polyester",2022,4478,19,6069,885,235,585992
"Nike","Polyester",2019,5737,14,4669,1335,288,528953
"Urban Outfitters","Polyester",2020,1972,11,4185,1211,321,506591
"Adidas","Polyester",2021,5658,12,5136,838,196,468079
"Forever 21","Polyester",2020,3120,13,6299,1174,170,584089
"Urban Outfitters","Nylon",2021,3960,11,5563,700,324,527444
"Adidas","Nylon",2019,5292,24,5597,1195,209,440946
"Urban Outfitters","Nylon",2018,1847,12,5167,1410,246,535733
"Urban Outfitters","Nylon",2022,2276,19,6360,1437,339,597234
"Zara","Nylon",2021,4037,24,5690,779,334,443256
"Zara","Nylon",2022,3230,13,6466,1157,244,465979
"Zara","Nylon",2020,5477,22,6112,1160,339,534213
"Urban Outfitters","Nylon",2022,1951,24,4493,1105,216,501901
"Urban Outfitters","Nylon",2022,2438,20,6204,1167,273,422104
"Urban Outfitters","Nylon",2019,4130,9,5410,982,262,593949
"Forever 21","Nylon",2022,5189,14,5134,899,213,577686
"Forever 21","Nylon",2018,5252,20,5607,1316,331,471454
"Forever 21","Nylon",2021,5080,10,6463,1191,235,597509
"Nike","Nylon",2019,4399,9,4475,908,284,597576
"Zara","Nylon",2021,3091,21,4453,855,281,423743
"Zara","Nylon",2018,3604,22,5757,703,300,590224
"Urban Outfitters","Nylon",2019,3555,22,5849,880,268,532071
"Adidas","Nylon",2020,3266,12,5861,1162,236,451834
"Urban Outfitters","Nylon",2022,4576,16,6026,978,257,547380
"Forever 21","Nylon",2018,5364,23,4496,1389,276,451067
"Forever 21","Nylon",2020,5915,15,6026,1158,220,525327
"Zara","Nylon",2021,5940,23,5927,946,205,572920
"Forever 21","Nylon",2020,5575,14,5790,982,236,427853
"Nike","Nylon",2021,4114,22,6224,1314,202,473404
"Nike","Nylon",2021,5509,17,5884,1337,275,469227
"Adidas","Nylon",2021,4270,17,5814,1312,289,566567
"Nike","Nylon",2022,5132,20,5590,753,251,541624
"Urban Outfitters","Nylon",2021,4626,25,4434,1407,331,588370
"Urban Outfitters","Nylon",2020,4206,9,4858,868,204,484307
"Zara","Nylon",2020,2307,10,4535,1481,311,513614
"Forever 21","Nylon",2018,5387,23,6027,1157,287,434008
"Nike","Nylon",2018,5841,18,4732,728,320,577309
"Nike","Nylon",2021,4290,21,6465,1069,261,500522
"Forever 21","Nylon",2019,4559,14,6174,1258,241,510730
"Zara","Nylon",2019,2938,9,4814,850,319,459116
